常见问题,解决方案,,,,,,,,,,,,,,,,,,
"知识库收费政策
知识库如何收费
知识库超过10gb收费吗",每个主账号在使用扣子专业版时享有 10GB 的免费知识库存储空间。一旦存储空间使用量达到上限，将无法上传更多数据。如果需要更多空间，你可以选择按年或按月购买额外的存储容量。若购买的存储空间到期后未续费，扣子专业版将对超出 10GB 的部分按小时计费。 详细说明可参考专业版文档 https://www.volcengine.com/docs/84458/1288966,,,,,,,,,,,,,,,,,,
账号中有token，为什么还会欠费,扣子专业版除了 方舟的token费用之外，还会收取 Bot 调用、知识库空间等费用。如果账号中余额不足以支付 Bot 调用产生的费用，账号会转为欠费状态。详细说明可参考专业版文档  https://www.volcengine.com/docs/84458/1288960、https://www.volcengine.com/docs/84458/1288958,,,,,,,,,,,,,,,,,,
扣子是什么,扣子是字节推出的智能体开发平台,,,,,,,,,,,,,,,,,,
